bpm,trend_cap_pct
-17.0,0.011337088616779208
-16.9,0.011337088616779208
-16.8,0.011337088616779208
-16.7,0.011337088616779208
-16.6,0.011337088616779208
-16.5,0.011337088616779208
-16.4,0.011337088616779208
-16.3,0.011337088616779208
-16.2,0.011337088616779208
-16.1,0.011337088616779208
-16.0,0.011337088616779208
-15.9,0.011337088616779208
-15.8,0.011337088616779208
-15.7,0.011337088616779208
-15.6,0.011337088616779208
-15.5,0.011337088616779208
-15.4,0.011337088616779208
-15.3,0.011337088616779208
-15.2,0.011337088616779208
-15.1,0.011337088616779208
-15.0,0.011337088616779208
-14.9,0.011337088616779208
-14.8,0.011337088616779208
-14.7,0.011337088616779208
-14.6,0.011337088616779208
-14.5,0.011337088616779208
-14.4,0.011337088616779208
-14.3,0.011337088616779208
-14.2,0.011337088616779208
-14.1,0.011337088616779208
-14.0,0.011337088616779208
-13.9,0.011337088616779208
-13.8,0.011337088616779208
-13.7,0.011337088616779208
-13.6,0.011337088616779208
-13.5,0.011337088616779208
-13.4,0.011337088616779208
-13.3,0.011337088616779208
-13.2,0.011337088616779208
-13.1,0.011337088616779208
-13.0,0.011337088616779208
-12.9,0.011337088616779208
-12.8,0.011337088616779208
-12.7,0.011337088616779208
-12.6,0.011337088616779208
-12.5,0.011337088616779208
-12.4,0.011337088616779208
-12.3,0.011337088616779208
-12.2,0.011337088616779208
-12.1,0.011337088616779208
-12.0,0.011337088616779208
-11.9,0.011337088616779208
-11.8,0.011337088616779208
-11.7,0.011337088616779895
-11.6,0.012257118512355308
-11.5,0.013177148407930722
-11.4,0.014097178303506137
-11.3,0.01501720819908155
-11.2,0.015937238094656966
-11.1,0.01685726799023161
-11.0,0.01685726799023161
-10.9,0.01685726799023161
-10.8,0.016857267990232416
-10.7,0.01776482617587495
-10.6,0.024325864866866886
-10.5,0.024325864866866886
-10.4,0.024325864866866886
-10.3,0.024325864866866886
-10.2,0.024325864866866886
-10.1,0.024325864866866886
-10.0,0.024325864866866886
-9.9,0.024325864866869128
-9.8,0.02653775294632391
-9.7,0.028749641025778695
-9.6,0.03096152910523116
-9.5,0.03096152910523116
-9.4,0.03096152910523116
-9.3,0.03096152910523116
