feature,importance
pts_pg,0.1965118367031083
roll40_pts_pg,0.17943397622915555
prior_bpm,0.14679240836537175
reb_pg,0.0853254462855808
roll40_reb_pg,0.055312791111125914
ts_pct,0.04318545057841898
pts_per_36,0.025901150976836096
prior_vorp,0.0166975739691223
roll40_ts_pct,0.015522029749265963
roll15_pts_pg,0.014743538055215786
roll40_pts_per_36,0.014413156077494774
prior_games_played,0.013330942611627854
prior_ws_per_48,0.011425747728677663
ast_per_36,0.010558607357348974
stl_per_36,0.00870693766405503
plus_minus_pg,0.008694007359911422
roll15_ast_per_36,0.008228741842877429
roll40_ast_per_36,0.0077413885268492605
roll15_reb_pg,0.007008424132483978
ast_pg,0.006786551345779935
roll15_reb_per_36,0.006408013084530655
roll40_plus_minus_pg,0.0062940173894263035
prior_ws,0.005891792644227142
plus_minus_per_36,0.005269947689475837
blk_pg,0.004910052182184178
blk_per_36,0.004902079234393558
roll40_plus_minus_per_36,0.004241271968307396
stl_pg,0.004119043854147942
roll40_blk_pg,0.004079231858475808
reb_per_36,0.003993520897034701
roll40_ast_pg,0.0038748457172278366
roll40_stl_per_36,0.00385187590135258
roll40_reb_per_36,0.003819241461895722
roll15_ast_pg,0.003748365995201777
roll15_pts_per_36,0.0036762805379628527
fg_pct,0.0034940018363229866
roll15_ts_pct,0.0033180904774072536
roll40_blk_per_36,0.003134840923673768
roll40_stl_pg,0.002930748419029022
roll15_blk_per_36,0.0026801962944010163
roll40_fg_pct,0.002519762188439713
tov_per_36,0.002378219653364694
roll15_plus_minus_pg,0.0023384483749948485
roll40_minutes_pg,0.0022459191915768775
roll15_stl_per_36,0.0021299690070939415
ft_pct,0.0020795678727860215
roll15_blk_pg,0.001978600837945159
roll15_tov_per_36,0.0019754811357338207
minutes_pg,0.001939677097578789
roll40_tov_per_36,0.0019128508488212852
fg3_pct,0.0019103822316747525
roll15_plus_minus_per_36,0.001760849889295633
roll15_stl_pg,0.0017430995828839329
roll15_fg_pct,0.0016505885445402845
roll40_fg3_pct,0.0015167700444814233
roll40_ft_pct,0.0014937075042901983
roll15_fg3_pct,0.0012702728421196733
roll15_minutes_pg,0.0011954569060377946
tov_pg,0.0008764228575744581
roll15_ft_pct,0.0008709203922079978
roll40_tov_pg,0.0007645926834409143
milestone_n,0.0007249026868373157
roll40_games,0.0006569581684537485
roll15_games,0.000653528941933743
roll15_tov_pg,0.0004548854789070047
