season,rotation_players,league_value_points,team_value_points
2019-20,300,760.6,25.353333333333335
2020-21,300,799.8000000000001,26.660000000000004
2021-22,300,802.9000000000001,26.763333333333335
2022-23,300,766.8000000000002,25.560000000000006
2023-24,300,790.0,26.333333333333332
2024-25,300,853.5,28.45
